Omega_q_over_2pi_Hz,qg_qm_total_delta_h1,qg_qm_total_delta_h2,qg_qm_total_delta_h3,qg_total_delta_h1,qg_total_delta_h2,qg_total_delta_h3,sn_qm_total_delta_h1,sn_qm_total_delta_h2,sn_qm_total_delta_h3,sn_total_delta_h1,sn_total_delta_h2,sn_total_delta_h3,sn_term_SN_delta_h1,sn_term_SN_delta_h2,sn_term_SN_delta_h3,sn_minus_qg_total_delta_h1,sn_minus_qg_total_delta_h2,sn_minus_qg_total_delta_h3
0.01,26.184987670006912,-5.6157447010434671,2.4786760533218404,26.184987670006912,-5.6157447010434671,2.4786760533218404,26.184987670006912,-5.6157447010434671,2.4786760533218404,31.218186074569282,-5.4123146560836908,-7.615220565628487,5.033198404562369,0.20343004495977368,-10.093896618950327,5.0331984045623699,0.20343004495977635,-10.093896618950328
0.010136098948795599,25.664148291422151,-5.5424008681468306,2.4624117068759999,25.664148291422151,-5.5424008681468306,2.4624117068759999,25.664148291422151,-5.5424008681468306,2.4624117068759999,30.662004878504309,-5.3424113110154074,-7.6309135911340933,4.9978565870821559,0.19998955713143118,-10.093325298010093,4.9978565870821576,0.19998955713142319,-10.093325298010093
0.010274050189977523,25.153606072453339,-5.4699876560293923,2.4462486472741576,25.153606072453339,-5.4699876560293923,2.4462486472741576,25.153606072453339,-5.4699876560293923,2.4462486472741576,30.11645486419545,-5.2756381730020578,-7.6463387469580475,4.9628487917421094,0.1943494830273238,-10.092587394232204,4.9628487917421111,0.19434948302733446,-10.092587394232204
0.010413878933050433,24.653159514164127,-5.3984939840537249,2.4301863447930758,24.653159514164127,-5.3984939840537249,2.4301863447930758,24.653159514164127,-5.3984939840537249,2.4301863447930758,29.581342972148423,-5.2119598612871556,-7.6615017876614413,4.9281834579842947,0.18653412276656667,-10.091688132454516,4.9281834579842965,0.18653412276656933,-10.091688132454518
0.010555610730617714,24.162610991623765,-5.327908883811296,2.4142242706543424,24.162610991623765,-5.327908883811296,2.4142242706543424,24.162610991623765,-5.327908883811296,2.4142242706543424,29.056462666226047,-5.1514080963958477,-7.6763922105801674,4.8938516746022769,0.17650078741544917,-10.090616481234509,4.8938516746022813,0.17650078741544828,-10.090616481234509
0.010699271483050974,23.681766681759406,-5.2582214985601246,2.3983618970632734,23.681766681759406,-5.2582214985601246,2.3983618970632734,23.681766681759406,-5.2582214985601246,2.3983618970632734,28.541595170007767,-5.0939538133638251,-7.6910076335953974,4.8598284882483638,0.16426768519630031,-10.08936953065867,4.8598284882483611,0.16426768519629942,-10.08936953065867
0.010844887443223164,23.210436492404558,-5.1894210826150804,2.3825986972339877,23.210436492404558,-5.1894210826150804,2.3825986972339877,23.210436492404558,-5.1894210826150804,2.3825986972339877,28.036479804586925,-5.0395604577722501,-7.70534361824578,4.82604331218237,0.14986062484283025,-10.087942315479768,4.8260433121823674,0.14986062484283025,-10.087942315479768
0.01099248522130609,22.748433992647609,-5.1214970007465679,2.3669341454235546,22.748433992647609,-5.1214970007465679,2.3669341454235546,22.748433992647609,-5.1214970007465679,2.3669341454235546,27.540927255120955,-4.9882000582852548,-7.7193958842607753,4.7924932624733483,0.13329694246132107,-10.08633002968433,4.7924932624733465,0.13329694246131307,-10.08633002968433
0.011142091789633182,22.29557634439216,-5.0544387275577014,2.3513677169622067,22.29557634439216,-5.0544387275577014,2.3513677169622067,22.29557634439216,-5.0544387275577014,2.3513677169622067,27.054640583698035,-4.9398214384225554,-7.733156802507942,4.7590642393058724,0.1146172891351469,-10.084524519470149,4.7590642393058751,0.11461728913514602,-10.084524519470149
0.011293734487628495,21.851684235128513,-4.988235846849884,2.3358988882836287,21.851684235128513,-4.988235846849884,2.3358988882836287,21.851684235128513,-4.988235846849884,2.3358988882836287,26.577389594192855,-4.8943886178846547,-7.7466208739565543,4.7257053590643388,0.093847228965223906,-10.082519762240183,4.7257053590643423,0.093847228965229235,-10.082519762240183
