level,Omega_q_over_2pi_Hz,T_K
0.0,0.03912699447586157,1.0382376403722283e-05
0.0,0.03998350643057558,1.2333028860860186e-05
0.0,0.04085876791456968,1.4577365585823012e-05
0.0,0.041753189365603995,1.6930530380111987e-05
0.0,0.04266719020615259,1.9265266034035658e-05
0.0,0.0436011990400836,2.1577849251986396e-05
0.0,0.04455565385364549,2.3927640124790017e-05
0.0,0.04553100222085242,2.6402581176896622e-05
0.0,0.04652770151336587,2.9117868349744475e-05
0.0,0.04754621911497073,3.222978006408387e-05
0.0,0.048587032640746326,3.596650375231554e-05
0.0,0.04965063016103507,4.067551543421673e-05
0.0,0.05073751043031424,4.687599350642328e-05
0.0,0.051848183121077654,5.524616641506947e-05
0.0,0.05298316906283707,6.634882558833328e-05
0.0,0.05414300048635593,8.012129859638549e-05
0.0,0.055328221273228735,9.567970139252547e-05
0.0,0.05653938721092467,0.00011165649676132846
0.0,0.05777706625341378,0.000126855700925908
0.0,0.0590418387874984,0.00014068298029143903
0.0,0.060334297904975104,0.00015302868357068694
0.0,0.06165504968075404,0.00016400390606911727
0.0,0.06300471345706656,0.00017377498891434697
0.0,0.06438392213389446,0.00018250428764746374
0.0,0.06579332246575682,0.000190329884264994
0.0,0.06723357536499339,0.00019737124500552182
0.0,0.06870535621168751,0.00020371970480098124
0.0,0.07020935517037313,0.00020945863356870261
0.0,0.07174627751367456,0.00021465005129606558
0.0,0.07331684395303144,0.000219351039901832
0.0,0.0749217909766627,0.0002236063607410515
0.0,0.07656187119492947,0.00022745692379570398
0.0,0.07823785369325773,0.00023093705217210525
0.0,0.07995052439278665,0.00023407491407896096
0.0,0.08170068641891211,0.00023689857060869875
0.0,0.08348916047789737,0.00023942882125040462
0.0,0.0853167852417281,0.00024168777343792314
0.0,0.08718441774139242,0.00024369323304124387
0.0,0.08909293376876964,0.00024546168383491446
0.0,0.09104322828731662,0.0002470077174331623
0.0,0.09303621585174479,0.00024834366328950865
0.0,0.09507283103688326,0.00024948415726739487
0.0,0.09715402887593093,0.00025043790092648294
0.0,0.09928078530830144,0.0002512172471542877
0.0,0.10145409763727198,0.0002518307390150623
0.0,0.10367498499765054,0.00025228644241575
0.0,0.10594448883368027,0.0002525932222157327
0.0,0.10826367338740547,0.00025275892387785525
0.0,0.1106336261977285,0.00025279035741407996
0.0,0.11305545861039118,0.00025269403386917166
0.0,0.11553030629911948,0.00025247633653714723
0.0,0.1180593297981774,0.0002521429735267104
0.0,0.12064371504657777,0.00025169964233319914
0.0,0.12328467394420664,0.00025115126296909547
0.0,0.1259834449201213,0.0002505024092103647
0.0,0.12874129351328897,0.00024975870339111276
0.0,0.1315595129660379,0.0002489239398105111
0.0,0.13443942483049964,0.00024800228322234314
0.0,0.1373823795883263,0.00024699823208567745
0.0,0.1403897572839745,0.00024591475254889903
0.0,0.14346296817185147,0.0002447564534010984
0.0,0.14660345337762795,0.00024352605529737615
0.0,0.14981268557402774,0.0002422272242764891
0.0,0.15309216967141026,0.00024086342515552823
0.0,0.15644344352347067,0.00023943694603763274
0.0,0.1598680786483878,0.00023795144539861407
0.0,0.16336768096575907,0.0002364096035622158
0.0,0.1669438915496668,0.00023481402100585834
0.0,0.1705983873982293,0.00023316711076343016
0.0,0.17433288221999882,0.0002314716489816109
0.0,0.1781491272375733,0.0002297304040836088
0.0,0.18204891200880033,0.00022794507130441912
0.0,0.18603406526595648,0.0002261185528100935
0.0,0.19010645577329874,0.00022425269806056753
0.0,0.1942679932033866,0.00022235005985261024
0.0,0.19852062903258746,0.00022041235186623712
0.0,0.20286635745618642,0.00021844158068699994
0.0,0.2073072163235267,0.00021643987382596132
0.0,0.211845288093622,0.00021440910699082333
0.0,0.21648270081168683,0.00021235096438969612
0.0,0.22122162910704493,0.0002102675732040472
0.0,0.22606429521288088,0.0002081607629017428
0.0,0.23101297000831603,0.0002060320588094051
0.0,0.23606997408329483,0.0002038831352233364
0.0,0.2412376788267834,0.0002017157705816075
0.0,0.24651850753878854,0.00019953162214923238
0.0,0.25191493656671915,0.00019733198330494146
0.0,0.2574294964666246,0.0001951182532737426
0.0,0.2630647731898519,0.00019289250887511846
0.0,0.26882340929568,0.00019065597343284046
0.0,0.27470810519049926,0.00018840990465258288
0.0,0.2807216203941177,0.00018615608261111094
0.0,0.28686677483378675,0.00018389566820616857
0.0,0.29314645016655383,0.00018163007628539267
0.0,0.2995635911305632,0.0001793607308433292
0.0,0.3061212069259361,0.00017708842912315733
0.0,0.3128223726258801,0.0001748154223478716
0.0,0.31967023061868743,0.00017254194545660747
0.0,0.32666799208130104,0.00017026996118015377
0.0,0.3338189384851365,0.0001680003910736009
0.0,0.341126423134867,0.00016573452520451297
0.0,0.34859387274089504,0.0001634732000816237
0.0,0.3562247890262442,0.0001612177841077949
0.0,0.3640227503686284,0.00015896968543576307
0.0,0.37199141347846537,0.00015672937091473053
0.0,0.3801345151136247,0.00015449823144205263
0.0,0.38845587383171104,0.00015227742770093468
0.0,0.39695939178070627,0.00015006740914847827
0.0,0.40564905652881067,0.00014786977451621707
0.0,0.4145289429343386,0.00014568500726654964
0.0,0.4236032150565497,0.00014351423594779583
0.0,0.432876128108306,0.00014135863253281206
0.0,0.44235203045147714,0.00013921853446581525
0.0,0.45203536563602453,0.0001370951096495266
0.0,0.4619306744837209,0.0001349889094116884
0.0,0.47204259721748687,0.00013290084390102052
0.0,0.4823758756373368,0.00013083172328442487
0.0,0.4929353553439599,0.00012878211509907735
0.0,0.5037259880109733,0.00012675279084708313
0.0,0.5147528337069206,0.00012474418326735112
0.0,0.5260210632680966,0.00012275715313868246
0.0,0.5375359607233163,0.00012079225525027154
0.0,0.5493029257717619,0.00011884973422965361
