T_tomo_K,Omega_q_over_2pi_Hz,curve,V_xx,V_xp,V_px,V_pp,det
0.0001,0.05,qg_init,0.2,1.0,1.0,10.0,1.0
0.0001,0.05,sn_init,0.2,1.0,1.0,10.0,1.0
0.0001,0.05,qg_recon,2.5681523714124084,-0.14830425759144972,-0.14830425759144972,11.120438464486876,28.53698626089798
0.0001,0.05,sn_qm_recon,2.5681523714124084,-0.14830425759144972,-0.14830425759144972,11.120438464486876,28.53698626089798
0.0001,0.05,sn_recon,2.499180182591249,1.7115587899444726,1.7115587899444726,2.2372981034167196,2.661977591171865
0.0001,0.1,qg_init,0.2,1.0,1.0,10.0,1.0
0.0001,0.1,sn_init,0.2,1.0,1.0,10.0,1.0
0.0001,0.1,qg_recon,1.0384290648808567,0.42425574348295014,0.42425574348295014,10.793359096779065,11.0281448579133
0.0001,0.1,sn_qm_recon,1.0384290648808567,0.42425574348295014,0.42425574348295014,10.793359096779065,11.0281448579133
0.0001,0.1,sn_recon,0.872589482199307,2.8191447687005864,2.8191447687005864,1.943618559964948,-6.251596114059105
0.0001,1.0,qg_init,0.2,1.0,1.0,10.0,1.0
0.0001,1.0,sn_init,0.2,1.0,1.0,10.0,1.0
0.0001,1.0,qg_recon,0.22654653523101115,0.9422819043558585,0.9422819043558585,10.251194301891694,1.4344773637969441
0.0001,1.0,sn_qm_recon,0.22654653523101115,0.9422819043558585,0.9422819043558585,10.251194301891694,1.4344773637969441
0.0001,1.0,sn_recon,0.2025088542261053,1.1365416794858274,1.1365416794858274,7.396790866196971,0.20618865405520423
0.001,0.05,qg_init,0.2,1.0,1.0,10.0,1.0
0.001,0.05,sn_init,0.2,1.0,1.0,10.0,1.0
0.001,0.05,qg_recon,4.41922285891259,-2.6450344269052453,-2.6450344269052453,16.31255236658433,65.09259718610416
0.001,0.05,sn_qm_recon,4.41922285891259,-2.6450344269052453,-2.6450344269052453,16.31255236658433,65.09259718610416
0.001,0.05,sn_recon,3.870970599740722,-0.5638289841760951,-0.5638289841760951,8.279451744319907,31.73161116083736
0.001,0.1,qg_init,0.2,1.0,1.0,10.0,1.0
0.001,0.1,sn_init,0.2,1.0,1.0,10.0,1.0
0.001,0.1,qg_recon,1.6923742378691669,-0.8241138817646405,-0.8241138817646405,14.465599855288346,23.802044840296773
0.001,0.1,sn_qm_recon,1.6923742378691669,-0.8241138817646405,-0.8241138817646405,14.465599855288346,23.802044840296773
0.001,0.1,sn_recon,1.483905821894993,0.3138680716833271,0.3138680716833271,9.162676357764395,13.498035625003983
0.001,1.0,qg_init,0.2,1.0,1.0,10.0,1.0
0.001,1.0,sn_init,0.2,1.0,1.0,10.0,1.0
0.001,1.0,qg_recon,0.24721162931011534,0.8174447921787508,0.8174447921787508,11.41270316697797,2.1531369564811764
0.001,1.0,sn_qm_recon,0.24721162931011534,0.8174447921787508,0.8174447921787508,11.41270316697797,2.1531369564811764
0.001,1.0,sn_recon,0.2424802654892888,0.8711458272973384,0.8711458272973384,10.331242419377157,1.7462273522672112
