T_tomo_K,Omega_q_over_2pi_Hz,curve,point_index,param_angle_rad,X_q,P_q
0.0001,0.05,qg_init,0,0.0,-0.3130501555342849,0.03161803441020665
0.0001,0.05,qg_init,1,0.008726646259971648,-0.31025120906862613,0.05921117934242305
0.0001,0.05,qg_init,2,0.017453292519943295,-0.30742863577221036,0.08679981511408713
0.0001,0.05,qg_init,3,0.026179938779914945,-0.30458265059492223,0.11438184074377111
0.0001,0.05,qg_init,4,0.03490658503988659,-0.30171347026955164,0.14195515575343515
0.0001,0.05,qg_init,5,0.04363323129985824,-0.29882131329528877,0.16951766032838683
0.0001,0.05,qg_init,6,0.05235987755982989,-0.2959063999210847,0.19706725547719026
0.0001,0.05,qg_init,7,0.061086523819801536,-0.2929689521288784,0.2246018431915121
0.0001,0.05,qg_init,8,0.06981317007977318,-0.2900091936166922,0.2521193266058936
0.0001,0.05,qg_init,9,0.07853981633974483,-0.2870273497815958,0.27961761015743436
0.0001,0.05,qg_init,10,0.08726646259971647,-0.2840236477025419,0.307094599745378
0.0001,0.05,qg_init,11,0.09599310885968812,-0.28099831612307324,0.33454820289058596
0.0001,0.05,qg_init,12,0.10471975511965978,-0.2779515854339025,0.3619763288948878
0.0001,0.05,qg_init,13,0.11344640137963143,-0.2748836876553677,0.38937688900029593
0.0001,0.05,qg_init,14,0.12217304763960307,-0.2717948564197625,0.4167477965480728
0.0001,0.05,qg_init,15,0.1308996938995747,-0.26868532695354436,0.44408696713763773
0.0001,0.05,qg_init,16,0.13962634015954636,-0.26555533605942117,0.47139231878530263
0.0001,0.05,qg_init,17,0.14835298641951802,-0.26240512209831773,0.49866177208282253
0.0001,0.05,qg_init,18,0.15707963267948966,-0.2592349249712238,0.5258932503557507
0.0001,0.05,qg_init,19,0.16580627893946132,-0.2560449861009245,0.5530846798215857
0.0001,0.05,qg_init,20,0.17453292519943295,-0.2528355484136151,0.5802339897476979
0.0001,0.05,qg_init,21,0.1832595714594046,-0.24960685632040142,0.6073391126090236
