T_tomo_K,Omega_q_over_2pi_Hz,curve,V_xx,V_xp,V_px,V_pp,det
0.0001,0.05,qg_init,0.2,1.0,1.0,10.0,1.0
0.0001,0.05,sn_init,0.2,1.0,1.0,10.0,1.0
0.0001,0.05,qg_recon,2.250817281438585,0.31972282140550723,0.31972282140550723,10.880192290989516,24.387102151406584
0.0001,0.05,sn_qm_recon,2.250817281438585,0.31972282140550723,0.31972282140550723,10.880192290989516,24.387102151406584
0.0001,0.05,sn_recon,2.7172841438365385,3.8458344811181533,3.8458344811181533,1.4335850422207983,-10.894984952089526
0.0001,0.1,qg_init,0.2,1.0,1.0,10.0,1.0
0.0001,0.1,sn_init,0.2,1.0,1.0,10.0,1.0
0.0001,0.1,qg_recon,1.0220561655852929,0.5608181008416298,0.5608181008416298,10.64073228366612,10.560909094631821
0.0001,0.1,sn_qm_recon,1.0220561655852929,0.5608181008416298,0.5608181008416298,10.64073228366612,10.560909094631821
0.0001,0.1,sn_recon,0.9762509154688841,3.2852813267296055,3.2852813267296055,1.8610089611754201,-8.976261693714937
0.0001,1.0,qg_init,0.2,1.0,1.0,10.0,1.0
0.0001,1.0,sn_init,0.2,1.0,1.0,10.0,1.0
0.0001,1.0,qg_recon,0.229388751027183,0.9438425541965993,0.9438425541965993,10.220846744266515,1.4537085019951852
0.0001,1.0,sn_qm_recon,0.229388751027183,0.9438425541965993,0.9438425541965993,10.220846744266515,1.4537085019951852
0.0001,1.0,sn_recon,0.2047180471836038,1.1362657279148114,1.1362657279148114,7.472492281487016,0.23865422302679795
0.001,0.05,qg_init,0.2,1.0,1.0,10.0,1.0
0.001,0.05,sn_init,0.2,1.0,1.0,10.0,1.0
0.001,0.05,qg_recon,4.41922285891259,-2.6450344269052453,-2.6450344269052453,16.31255236658433,65.09259718610416
0.001,0.05,sn_qm_recon,4.41922285891259,-2.6450344269052453,-2.6450344269052453,16.31255236658433,65.09259718610416
0.001,0.05,sn_recon,3.870970599740722,-0.5638289841760951,-0.5638289841760951,8.279451744319907,31.73161116083736
0.001,0.1,qg_init,0.2,1.0,1.0,10.0,1.0
0.001,0.1,sn_init,0.2,1.0,1.0,10.0,1.0
0.001,0.1,qg_recon,1.6923742378691669,-0.8241138817646405,-0.8241138817646405,14.465599855288346,23.802044840296773
0.001,0.1,sn_qm_recon,1.6923742378691669,-0.8241138817646405,-0.8241138817646405,14.465599855288346,23.802044840296773
0.001,0.1,sn_recon,1.483905821894993,0.3138680716833271,0.3138680716833271,9.162676357764395,13.498035625003983
0.001,1.0,qg_init,0.2,1.0,1.0,10.0,1.0
0.001,1.0,sn_init,0.2,1.0,1.0,10.0,1.0
0.001,1.0,qg_recon,0.24721162931011534,0.8174447921787508,0.8174447921787508,11.41270316697797,2.1531369564811764
0.001,1.0,sn_qm_recon,0.24721162931011534,0.8174447921787508,0.8174447921787508,11.41270316697797,2.1531369564811764
0.001,1.0,sn_recon,0.2424802654892888,0.8711458272973384,0.8711458272973384,10.331242419377157,1.7462273522672112
