Omega_q_over_2pi_Hz,qg_qm_total_delta_h1,qg_qm_total_delta_h2,qg_qm_total_delta_h3,qg_total_delta_h1,qg_total_delta_h2,qg_total_delta_h3,sn_qm_total_delta_h1,sn_qm_total_delta_h2,sn_qm_total_delta_h3,sn_total_delta_h1,sn_total_delta_h2,sn_total_delta_h3,sn_term_SN_delta_h1,sn_term_SN_delta_h2,sn_term_SN_delta_h3,sn_minus_qg_total_delta_h1,sn_minus_qg_total_delta_h2,sn_minus_qg_total_delta_h3
0.01,47.007305656003304,-18.097942672290159,14.066420195874365,47.007305656003304,-18.097942672290159,14.066420195874365,47.007305656003304,-18.097942672290159,14.066420195874365,49.313530495204411,-16.386346710279444,2.9726278621673514,2.306224839201108,1.711595962010712,-11.093792333707013,2.3062248392011071,1.7115959620107155,-11.093792333707013
0.010136098948795599,46.066439096299789,-17.857038276512242,13.972472778282546,46.066439096299789,-17.857038276512242,13.972472778282546,46.066439096299789,-17.857038276512242,13.972472778282546,48.326394113523705,-16.132252311106278,2.8726394869197662,2.2599550172239113,1.7247859654059639,-11.09983329136278,2.2599550172239162,1.7247859654059639,-11.09983329136278
0.010274050189977523,45.144368639948603,-17.619312783235387,13.879142238125571,45.144368639948603,-17.619312783235387,13.879142238125571,45.144368639948603,-17.619312783235387,13.879142238125571,47.357861762140274,-15.881682606491907,2.7734873649190952,2.2134931221916752,1.7376301767434796,-11.105654873206475,2.2134931221916716,1.7376301767434796,-11.105654873206475
0.010413878933050433,44.24071996722941,-17.384724982126848,13.786424731127106,44.24071996722941,-17.384724982126848,13.786424731127106,44.24071996722941,-17.384724982126848,13.786424731127106,46.407594729715903,-15.63459002021426,2.6751721776619135,2.1668747624864948,1.750134961912579,-11.111252553465192,2.1668747624864935,1.7501349619125879,-11.111252553465192
0.010555610730617714,43.355126179316741,-17.153234181721466,13.694316434671645,43.355126179316741,-17.153234181721466,13.694316434671645,43.355126179316741,-17.153234181721466,13.694316434671645,45.475244903310639,-15.390906311611285,2.5777013259279782,2.1201187239938935,1.7623278701101768,-11.116615108743668,2.1201187239938974,1.7623278701101803,-11.116615108743666
0.010699271483050974,42.487227652061414,-16.924800203196639,13.602813547686496,42.487227652061414,-16.924800203196639,13.602813547686496,42.487227652061414,-16.924800203196639,13.602813547686496,44.560461009564001,-15.150575111426752,2.4810760041721163,2.0732333575025907,1.7742250917698854,-11.12173754351438,2.0732333575025876,1.7742250917698872,-11.12173754351438
0.010844887443223164,41.636671879576987,-16.69938336367138,13.511912286313931,41.636671879576987,-16.69938336367138,13.511912286313931,41.636671879576987,-16.69938336367138,13.511912286313931,43.662900941873168,-14.913531736601403,2.3852990427469427,2.0262290622961801,1.7858516270699809,-11.12661324356699,2.0262290622961814,1.7858516270699774,-11.12661324356699
0.01099248522130609,40.803113345335959,-16.4769444792217,13.421608887348787,40.803113345335959,-16.4769444792217,13.421608887348787,40.803113345335959,-16.4769444792217,13.421608887348787,42.782242434549403,-14.679733954328286,2.290379331129746,1.9791290892134423,1.7972105248934156,-11.131229556219042,1.9791290892134441,1.7972105248934138,-11.131229556219042
0.011142091789633182,39.986213382108708,-16.257444856969144,13.331899607355195,39.986213382108708,-16.257444856969144,13.331899607355195,39.986213382108708,-16.257444856969144,13.331899607355195,41.918152999324413,-14.449129226121897,2.1963170246385002,1.9319396172157026,1.8083156308472468,-11.135582582716696,1.9319396172157042,1.8083156308472468,-11.135582582716696
0.011293734487628495,39.185640037336491,-16.040846289413352,13.24278072264123,39.185640037336491,-16.040846289413352,13.24278072264123,39.185640037336491,-16.040846289413352,13.24278072264123,41.070297904415746,-14.221615289060864,2.1031180134118261,1.8846578670792486,1.8192310003524881,-11.139662709229405,1.8846578670792553,1.8192310003524881,-11.139662709229404
0.011447441026802778,38.401067941068931,-15.827111048784879,13.154248529206306,38.401067941068931,-15.827111048784879,13.154248529206306,38.401067941068931,-15.827111048784879,13.154248529206306,40.238378267854621,-13.997186433157633,2.0107856011672229,1.8373103267856887,1.8299246156272488,-11.143462928039083,1.8373103267856905,1.8299246156272453,-11.143462928039083
