T_tomo_K,omega_index,Omega_q_over_2pi_Hz,component,qg_qm_total,qg_total,sn_qm_total,sn_term_SN,sn_total,sn_minus_qg_total
0.0001,0,0.01,delta_h1,26.18498767000691,26.18498767000691,26.18498767000691,5.033198404562369,31.21818607456928,5.03319840456237
0.0001,0,0.01,delta_h2,-5.615744701043467,-5.615744701043467,-5.615744701043467,0.20343004495977368,-5.412314656083691,0.20343004495977635
0.0001,0,0.01,delta_h3,2.4786760533218404,2.4786760533218404,2.4786760533218404,-10.093896618950327,-7.615220565628487,-10.093896618950328
0.0001,1,0.010136098948795599,delta_h1,25.66414829142215,25.66414829142215,25.66414829142215,4.997856587082156,30.66200487850431,4.997856587082158
0.0001,1,0.010136098948795599,delta_h2,-5.542400868146831,-5.542400868146831,-5.542400868146831,0.19998955713143118,-5.3424113110154074,0.1999895571314232
0.0001,1,0.010136098948795599,delta_h3,2.462411706876,2.462411706876,2.462411706876,-10.093325298010093,-7.630913591134093,-10.093325298010093
0.0001,2,0.010274050189977523,delta_h1,25.15360607245334,25.15360607245334,25.15360607245334,4.962848791742109,30.11645486419545,4.962848791742111
0.0001,2,0.010274050189977523,delta_h2,-5.469987656029392,-5.469987656029392,-5.469987656029392,0.1943494830273238,-5.275638173002058,0.19434948302733446
0.0001,2,0.010274050189977523,delta_h3,2.4462486472741576,2.4462486472741576,2.4462486472741576,-10.092587394232204,-7.6463387469580475,-10.092587394232204
0.0001,3,0.010413878933050433,delta_h1,24.653159514164127,24.653159514164127,24.653159514164127,4.928183457984295,29.581342972148423,4.9281834579842965
0.0001,3,0.010413878933050433,delta_h2,-5.398493984053725,-5.398493984053725,-5.398493984053725,0.18653412276656667,-5.211959861287156,0.18653412276656933
0.0001,3,0.010413878933050433,delta_h3,2.430186344793076,2.430186344793076,2.430186344793076,-10.091688132454516,-7.661501787661441,-10.091688132454518
0.0001,4,0.010555610730617714,delta_h1,24.162610991623765,24.162610991623765,24.162610991623765,4.893851674602277,29.056462666226047,4.893851674602281
0.0001,4,0.010555610730617714,delta_h2,-5.327908883811296,-5.327908883811296,-5.327908883811296,0.17650078741544917,-5.151408096395848,0.17650078741544828
0.0001,4,0.010555610730617714,delta_h3,2.4142242706543424,2.4142242706543424,2.4142242706543424,-10.090616481234509,-7.676392210580167,-10.090616481234509
0.0001,5,0.010699271483050974,delta_h1,23.681766681759406,23.681766681759406,23.681766681759406,4.859828488248364,28.541595170007767,4.859828488248361
