temp_index,T_K,t_eval_s,omega_q_t_eval,free_fidelity,free_distinguishability,sn_init_h1,sn_init_h2,sn_init_h3,qg_init_h1,qg_init_h2,qg_init_h3
57,1.636882561221226e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
58,1.651095581812955e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
59,1.6654320137960277e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
60,1.6798929287492346e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
61,1.6944794075558786e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
62,1.7091925404845418e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
63,1.7240334272705874e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
64,1.739003177198371e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
65,1.7541029091841295e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
66,1.769333751859643e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
67,1.784696843656565e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
68,1.8001933328915445e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
69,1.815824377852032e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
70,1.8315911468828656e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
71,1.8474948184736113e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
72,1.8635365813466223e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
73,1.8797176345459217e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
74,1.8960391875267975e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
75,1.912502460246215e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
76,1.929108683254015e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
77,1.9458590977848634e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
78,1.96275495585106e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
79,1.9797975203360916e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
80,1.9969880650890378e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
81,2.0143278750197993e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
82,2.0318182461951087e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
83,2.049460485935438e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
84,2.0672559129126853e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
85,2.0852058572487534e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
86,2.1033116606149805e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
87,2.1215746763323947e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
88,2.1399962694729028e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
89,2.158577816961288e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
90,2.177320707678163e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
91,2.1962263425637512e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
92,2.2152961347226143e-05,0.0,0.0,1.0,0.0,0.2,1.0,10.0,0.2,1.0,10.0
