branch_id,temp_index,T_K,Omega_q_over_2pi_Hz,det_V_SN_recon,iterations
0.0,0.0,1e-05,0.038940607227084534,5.264769800621239e-06,2.0
0.0,0.5,1.0043321070505332e-05,0.03896214294033821,1.6564470484537935e-05,1.0
0.0,1.0,1.0086829812525637e-05,0.03898363937788083,-7.709968726127424e-07,2.0
0.0,1.5,1.0130527039073999e-05,0.03900508128074858,-2.1432446356996995e-06,1.0
0.0,2.0,1.0174413566685578e-05,0.03902654092396068,-8.25088821511606e-07,2.0
0.0,2.5,1.0218490215432857e-05,0.03904802951673796,-3.8528592048956065e-05,1.0
0.0,3.0,1.0262757808940939e-05,0.03906945258429289,3.6643324142979556e-06,2.0
0.0,3.5,1.0307217174402956e-05,0.03909089263430263,-3.3450325062946334e-05,1.0
0.0,4.0,1.0351869142595554e-05,0.03911225166684972,6.343023109433855e-05,1.0
0.0,4.5,1.039671454789439e-05,0.039133806797398425,1.4305955107653647e-06,1.0
0.0,5.0,1.0441754228289704e-05,0.03915507107395475,8.918725690212861e-05,1.0
0.0,5.5,1.0486989025402013e-05,0.03917672749102567,4.182608787079217e-06,1.0
0.0,6.0,1.0532419784497822e-05,0.039198073835958455,1.8486177577298888e-06,2.0
0.0,6.5,1.0578047354505409e-05,0.0392195389678965,-2.5120133577909855e-05,1.0
0.0,7.0,1.0623872588030726e-05,0.03924098673830206,9.868409097372075e-06,2.0
0.0,7.5,1.06698963413733e-05,0.03926243738967527,4.283791673141317e-06,1.0
0.0,8.0,1.0716119474542222e-05,0.03928389937408123,2.248051551533914e-06,2.0
0.0,8.5,1.0762542851272233e-05,0.03930526153372389,3.3993427173168734e-06,1.0
0.0,9.0,1.0809167339039883e-05,0.039326671525142236,2.547939617486197e-06,2.0
0.0,9.5,1.0855993809079732e-05,0.039348118554656523,2.8490232121370085e-06,1.0
0.0,10.0,1.0903023136400592e-05,0.03936954405385138,6.1368576224350745e-06,2.0
0.0,10.5,1.0950256199801908e-05,0.03939103071785806,1.7728541089171916e-05,1.0
0.0,11.0,1.0997693881890204e-05,0.03941247643154981,-7.77748481747018e-06,2.0
0.0,11.5,1.1045337069095547e-05,0.03943385835411883,1.0026846644013822e-05,1.0
0.0,12.0,1.1093186651688092e-05,0.03945528677440814,3.0419591082890506e-06,2.0
0.0,12.5,1.1141243523794751e-05,0.039476743166045394,-4.548993334856391e-06,1.0
0.0,13.0,1.118950858341589e-05,0.03949823886638918,4.4339100098773874e-06,2.0
0.0,13.5,1.1237982732442096e-05,0.03951963832210067,5.932725414356036e-06,1.0
0.0,14.0,1.1286666876671067e-05,0.03954111164285203,2.1130791426500653e-06,2.0
0.0,14.5,1.1335561925824513e-05,0.03956257708432037,-8.622735190035649e-06,1.0
0.0,15.0,1.1384668793565135e-05,0.03958401415149867,2.938071022496846e-06,2.0
0.0,15.5,1.1433988397513712e-05,0.0396054639818416,7.692768690712576e-06,1.0
0.0,16.0,1.1483521659266285e-05,0.03962699910287613,-1.2206724851782715e-05,2.0
0.0,16.5,1.1533269504411344e-05,0.03964846794390388,5.434189192699839e-06,1.0
0.0,17.0,1.1583232862547103e-05,0.039669976417059605,2.8024301368573215e-06,2.0
0.0,17.5,1.1633412667298913e-05,0.03969147773410108,-5.241714834333752e-06,1.0
0.0,18.0,1.168380985633668e-05,0.03971297335330085,2.9582279321308287e-07,2.0
0.0,18.5,1.1734425371392394e-05,0.039734528685162536,-1.1044193814073944e-05,1.0
0.0,19.0,1.1785260158277746e-05,0.0397560710824833,9.399315252360151e-07,2.0
0.0,19.5,1.1836315166901791e-05,0.03977762576549846,1.01689720537519e-06,1.0
0.0,20.0,1.188759135128866e-05,0.03979919513429754,2.7590087972328597e-06,2.0
0.0,20.5,1.1939089669595422e-05,0.039820774431253946,-8.249765689830386e-06,1.0
0.0,21.0,1.1990811084130013e-05,0.039842385124010594,-6.268231753244882e-07,2.0
0.0,21.5,1.2042756561369184e-05,0.03986394866158421,2.837278189293094e-05,1.0
0.0,22.0,1.2094927071976547e-05,0.039885616383807596,-5.808838447886371e-08,2.0
0.0,22.5,1.2147323590820742e-05,0.03990727311470411,-5.8985223346400065e-06,1.0
0.0,23.0,1.2199947096993645e-05,0.039928919529800495,1.7107531810740397e-06,2.0
0.0,23.5,1.2252798573828652e-05,0.03995068414787876,-9.704103386312429e-06,1.0
0.0,24.0,1.2305879008919085e-05,0.03997231962988761,3.969523286959409e-05,1.0
0.0,24.5,1.2359189394136633e-05,0.03999415255638748,1.7280627393879908e-05,1.0
0.0,25.0,1.2412730725649847e-05,0.04001580226639761,7.881923564923541e-05,1.0
0.0,25.5,1.2466504003942792e-05,0.04003777443303141,2.6854492022174636e-06,1.0
0.0,26.0,1.252051023383376e-05,0.040059577786948006,-9.159039536662498e-06,2.0
0.0,26.5,1.2574750424494026e-05,0.040081447529582925,2.1991642575923203e-05,1.0
0.0,27.0,1.2629225589466672e-05,0.04010335538633802,3.361441358215372e-06,2.0
0.0,27.5,1.2683936746685561e-05,0.04012527115507651,2.0892193552096164e-06,1.0
0.0,28.0,1.2738884918494383e-05,0.04014726873908941,-4.447388480807122e-08,2.0
0.0,28.5,1.2794071131665724e-05,0.04016927701512365,-4.952872018871725e-07,1.0
0.0,29.0,1.2849496417420237e-05,0.04019131156858778,-4.418356125032519e-06,2.0
0.0,29.5,1.2905161811445945e-05,0.040213417804156965,-5.402237338757835e-06,1.0
0.0,30.0,1.2961068353917582e-05,0.04023554523203175,-2.730126398058467e-06,2.0
0.0,30.5,1.3017217089516019e-05,0.0402576921219652,6.069525857525849e-06,1.0
0.0,31.0,1.3073609067447818e-05,0.040279850515441105,8.9501491331275e-06,2.0
0.0,31.5,1.3130245341464824e-05,0.04030218420851289,-5.307640396439209e-06,1.0
0.0,32.0,1.3187126969883815e-05,0.040324425155666005,-2.9302506781911132e-06,2.0
0.0,32.5,1.3244255015606312e-05,0.040346803255378795,1.4149837829684345e-05,1.0
0.0,33.0,1.3301630546138467e-05,0.040369237008583435,-1.769479762695506e-06,2.0
0.0,33.5,1.3359254633610982e-05,0.04039167988283284,8.563412724269822e-06,1.0
0.0,34.0,1.3417128354799117e-05,0.0404141994640935,-1.0250540813155222e-06,2.0
0.0,34.5,1.347525279114285e-05,0.04043676398028917,-1.254484020406621e-05,1.0
